Name,Size,Type,Align.,AC,HP,Speed,Swim,Fly,Climb,Burrow,STR,DEX,CON,INT,WIS,CHA,STR save,DEX save,CON save,INT save,WIS save,CHA save,Acrobatics,Animal Handling,Arcana,Athletics,Deception,History,Insight,Intimidation,Investigation,Medicine,Nature,Perception,Performance,Persuasion,Religion,Sleight of Hand,Stealth,Survival,WRI,Acid Resistance,Acid Immunity,Cold Res,Cold Immu,Fire Res,Fire Immu,Force Res,Force Immu,Lightening Res,Lightneing Immu,Necrotic Res,Necrotic Immu,Poison Res,Poison Immu,Psychic Res,Psychic Immu,Radiant Res,Radiant Immu,Slashing Res,Slashing Immu,Piercing Res,Piercing Immu,Thunder Res,Thunder Immu,Charmed Immunity,Exhaustion Immunity,Frightened Immunity,Paralyzed Immunity,Prone Immunity,Unconscious Immunity,Senses,Blindsight,Darkvision,Truesight,Tremorsense,Normal,Normal Spellcasting,Master of the Grave,Evasion,Legendary Resistance,Languages,Abyssal,Alive,All,Any,Aquan,Auran,Bothii,Celestial,Common,Creator,Deep Speech,Draconic,Druidic,Dwarvish,Elvish,Giant,Gnoll,Gnomish,Goblin,Ignan,Infernal,Infernal,Modron,None,Olman,Orc,Own,Primal,Primordial,Spider,Sylvan,Telepathy,Terran,Thayan,Thieves' Cant,Undercommon,Yikaria,Telepathy Distance,CR,Additional,Origin
"Dragon, Chromatic, Blue, Young",Large,Dragon,LE,18,152,40,,80,,20,21,10,19,14,13,17,,Y,Y,,Y,Y,,,,,,,,,,,,Y,,,,,Y,,Lightningimmu,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,"Blindsight 10, darkvision 60",10,60,,,,,,,,Draconic,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,9.00,None,Monster Manual
"Dragon, Chromatic, Green, Adult",Huge,Dragon,LE,19,207,40,80,40,,,23,12,21,18,15,17,,Y,Y,,Y,Y,,,,,Y,,Y,,,,,Y,,Y,,,Y,,"Poisonimmu, poisonedimmu",,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,"Blindsight 60, darkvision 120",60,120,,,,,,,,"Common, Draconic",,,,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,15.00,"Amphibious, Legendary Resistance, Legendary, Lair",Monster Manual
"Dragon, Chromatic, Green, Ancient",Gargantuan,Dragon,LE,21,385,40,80,40,,,27,12,25,20,17,19,,Y,Y,,Y,Y,,,,,Y,,Y,,,,,Y,,Y,,,Y,,"Poisonimmu, poisonedimmu",,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,"Blindsight 60, darkvision 120",60,120,,,,,,,,"Common, Draconic",,,,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,22.00,"Amphibious, Legendary Resistance, Legendary, Lair",Monster Manual
"Dragon, Chromatic, Green, Wyrmling",Medium,Dragon,LE,17,38,30,30,60,,,15,12,13,14,11,13,,Y,Y,,Y,Y,,,,,,,,,,,,Y,,,,,Y,,"Poisonimmu, poisonedimmu",,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,"Blindsight 30, darkvision 120",30,120,,,,,,,,Draconic,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,Amphibious,Monster Manual
"Dragon, Chromatic, Green, Young",Large,Dragon,LE,18,136,40,80,40,,,19,12,17,16,13,15,,Y,Y,,Y,Y,,,,,Y,,,,,,,Y,,,,,Y,,"Poisonimmu, poisonedimmu",,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,"Blindsight 60, darkvision 120",60,120,,,,,,,,"Common, Draconic",,,,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,8.00,Amphibious,Monster Manual
"Dragon, Chromatic, Red, Adult",Huge,Dragon,CE,19,256,40,,80,40,,27,10,25,16,13,21,,Y,Y,,Y,Y,,,,,,,,,,,,Y,,,,,Y,,Fireimmu,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,"Blindsight 60, darkvision 120",60,120,,,,,,,,"Common, Draconic",,,,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,17.00,"Legendary Resistance, Legendary, Lair",Monster Manual
"Dragon, Chromatic, Red, Ancient",Gargantuan,Dragon,CE,22,546,40,,80,40,,30,10,29,18,15,23,,Y,Y,,Y,Y,,,,,,,,,,,,Y,,,,,Y,,Fireimmu,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,"Blindsight 60, darkvision 120",60,120,,,,,,,,"Common, Draconic",,,,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,"Legendary Resistance, Legendary, Lair",Monster Manual
"Dragon, Chromatic, Red, Wyrmling",Medium,Dragon,CE,17,75,40,,80,40,,19,10,17,12,11,15,,Y,Y,,Y,Y,,,,,,,,,,,,Y,,,,,Y,,Fireimmu,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,"Blindsight 30, darkvision 120",30,120,,,,,,,,Draconic,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00,None,Monster Manual
"Dragon, Chromatic, Red, Young",Large,Dragon,CE,18,178,30,,60,30,,23,10,21,14,11,19,,Y,Y,,Y,Y,,,,,,,,,,,,Y,,,,,Y,,Fireimmu,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,"Blindsight 10, darkvision 60",10,60,,,,,,,,"Common, Draconic",,,,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,10.00,None,Monster Manual
"Dragon, Chromatic, White, Adult",Huge,Dragon,CE,18,200,40,40,80,,30,22,10,22,8,12,12,,Y,Y,,Y,Y,,,,,,,,,,,,Y,,,,,Y,,Coldimmu,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blindsight 60, darkvision 120",60,120,,,,,,,,"Common, Draconic",,,,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,13.00,"Ice Walk, Legendary Resistance, Legendary, Lair",Monster Manual
"Dragon, Chromatic, White, Ancient",Gargantuan,Dragon,CE,20,333,40,40,80,,40,26,10,26,10,13,14,,Y,Y,,Y,Y,,,,,,,,,,,,Y,,,,,Y,,Coldimmu,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blindsight 60, darkvision 120",60,120,,,,,,,,"Common, Draconic",,,,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,20.00,"Ice Walk, Legendary Resistance, Legendary, Lair",Monster Manual
"Dragon, Metallic, Brass, Adult",Huge,Dragon,CG,18,172,40,,80,,30,23,10,21,14,13,17,,Y,Y,,Y,Y,,,,,,Y,,,,,,Y,,Y,,,Y,,Fireimmu,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,"Blindsight 60, darkvision 120,",60,120,,,,,,,,"Common, Draconic",,,,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,13.00,"Legendary, Legendary Resistance, Lair",Monster Manual
"Dragon, Metallic, Brass, Ancient",Gargantuan,Dragon,CG,20,297,40,,80,,40,27,10,25,16,15,19,,Y,Y,,Y,Y,,,,,,Y,,,,,,Y,,Y,,,Y,,Fireimmu,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,"Blindsight 60, darkvision 120,",60,120,,,,,,,,"Common, Draconic",,,,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,20.00,"Legendary, Legendary Resistance, Lair",Monster Manual
"Dragon, Metallic, Brass, Wyrmling",Medium,Dragon,CG,16,16,30,,60,,15,15,10,13,10,11,13,,Y,Y,,Y,Y,,,,,,,,,,,,Y,,,,,Y,,Fireimmu,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,"Blindsight 10, Darkvision 60",10,60,,,,,,,,Draconic,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,None,Monster Manual
"Dragon, Metallic, Brass, Young",Large,Dragon,CG,17,110,40,,80,,20,19,10,17,12,11,15,,Y,Y,,Y,Y,,,,,,,,,,,,Y,,Y,,,Y,,Fireimmu,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,"Blindsight 30, Darkvision 120",30,120,,,,,,,,"Common, Draconic",,,,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00,None,Monster Manual
"Dragon, Metallic, Bronze, Adult",Huge,Dragon,LG,19,212,40,40,80,,,25,10,23,16,15,19,,Y,Y,,Y,Y,,,,,,,Y,,,,,Y,,,,,Y,,Lightningimmu,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,"Blindsight 60, darkvision 120",60,120,,,,,,,,"Common, Draconic",,,,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,15.00,"Amphibious, Legendary Resistance, Legendary, Lair",Monster Manual
"Dragon, Metallic, Bronze, Ancient",Gargantuan,Dragon,LG,22,444,40,40,80,,,29,10,27,18,17,21,,Y,Y,,Y,Y,,,,,,,Y,,,,,Y,,,,,Y,,Lightningimmu,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,"Blindsight 60, darkvision 120",60,120,,,,,,,,"Common, Draconic",,,,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,22.00,"Amphibious, Legendary Resistance, Legendary, Lair",Monster Manual
"Dragon, Metallic, Bronze, Wyrmling",Medium,Dragon,LG,17,32,30,30,60,,,17,10,15,12,11,15,,Y,Y,,Y,Y,,,,,,,,,,,,Y,,,,,Y,,Lightningimmu,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,"Blindsight 10, darkvision 60",10,60,,,,,,,,Draconic,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,Amphibious,Monster Manual
"Dragon, Metallic, Bronze, Young",Large,Dragon,LG,18,142,40,40,80,,,21,10,19,14,13,17,,Y,Y,,Y,Y,,,,,,,Y,,,,,Y,,,,,Y,,Lightningimmu,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,"Blindsight 30, Darkvision 120",30,120,,,,,,,,"Common, Draconic",,,,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,8.00,Amphibious,Monster Manual
"Dragon, Metallic, Copper, Adult",Huge,Dragon,CG,18,184,40,,80,40,,23,12,21,18,15,17,,Y,Y,,Y,Y,,,,,Y,,,,,,,Y,,,,,Y,,Acidimmu,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blindsight 60, darkvision 120",60,120,,,,,,,,"Common, Draconic",,,,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,14.00,"Legendary Resistance, Legendary, Lair",Monster Manual
"Dragon, Metallic, Copper, Ancient",Gargantuan,Dragon,CG,21,350,40,,80,40,,27,12,25,20,17,19,,Y,Y,,Y,Y,,,,,Y,,,,,,,Y,,,,,Y,,Acidimmu,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blindsight 60, darkvision 120",60,120,,,,,,,,"Common, Draconic",,,,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,21.00,"Legendary Resistance, Legendary, Lair",Monster Manual
"Dragon, Metallic, Copper, Wyrmling",Medium,Dragon,CG,16,22,30,,60,30,,15,12,13,14,11,13,,Y,Y,,Y,Y,,,,,,,,,,,,Y,,,,,Y,,Acidimmu,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blindsight 10, darkvision 60",10,60,,,,,,,,Draconic,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,None,Monster Manual
"Dragon, Metallic, Copper, Young",Large,Dragon,CG,17,119,40,,80,40,,19,12,17,16,13,15,,Y,Y,,Y,Y,,,,,Y,,,,,,,Y,,,,,Y,,Acidimmu,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blindsight 30, darkvision 120",30,120,,,,,,,,"Common, Draconic",,,,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,7.00,None,Monster Manual
"Dragon, Metallic, Gold, Adult",Huge,Dragon,LG,19,256,40,40,80,,,27,14,25,16,15,24,,Y,Y,,Y,Y,,,,,,,Y,,,,,Y,,Y,,,Y,,Fireimmu,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,"Blindsight 60, darkvision 120",60,120,,,,,,,,"Common, Draconic",,,,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,17.00,"Amphibious, Legendary Resistance, Legendary, Lair",Monster Manual
"Dragon, Metallic, Gold, Ancient",Gargantuan,Dragon,LG,22,546,40,40,80,,,30,14,29,18,17,28,,Y,Y,,Y,Y,,,,,,,Y,,,,,Y,,Y,,,Y,,Fireimmu,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,"Blindsight 60, darkvision 120",60,120,,,,,,,,"Common, Draconic",,,,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,24.00,"Amphibious, Legendary Resistance, Legendary, Lair",Monster Manual
"Dragon, Metallic, Gold, Wyrmling",Medium,Dragon,LG,17,60,30,30,60,,,19,14,17,14,11,16,,Y,Y,,Y,Y,,,,,,,,,,,,Y,,,,,Y,,Fireimmu,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,"Blindsight 10, darkvision 60",10,60,,,,,,,,Draconic,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,Amphibious,Monster Manual
"Dragon, Metallic, Gold, Young",Large,Dragon,LG,18,178,40,40,80,,,23,14,21,16,13,20,,Y,Y,,Y,Y,,,,,,,Y,,,,,Y,,Y,,,Y,,Fireimmu,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,"Blindsight 30, darkvision 120",30,120,,,,,,,,"Common, Draconic",,,,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,10.00,Amphibious,Monster Manual
"Dragon, Metallic, Silver, Adult",Huge,Dragon,LG,19,243,40,,80,,,27,10,25,16,13,21,,Y,Y,,Y,Y,,,Y,,,Y,,,,,,Y,,,,,Y,,Coldimmu,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blindsight 60, darkvision 120",60,120,,,,,,,,"Common, Draconic",,,,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,16.00,"Legendary Resistance, Legendary, Lair",Monster Manual
"Dragon, Metallic, Silver, Ancient",Gargantuan,Dragon,LG,22,487,40,,80,,,30,10,29,18,15,23,,Y,Y,,Y,Y,,,Y,,,Y,,,,,,Y,,,,,Y,,Coldimmu,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blindsight 60, darkvision 120",60,120,,,,,,,,"Common, Draconic",,,,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,23.00,"Legendary Resistance, Legendary, Lair",Monster Manual
"Dragon, Metallic, Silver, Wyrmling",Medium,Dragon,LG,17,45,30,,60,,,19,10,17,12,11,15,,Y,Y,,Y,Y,,,,,,,,,,,,Y,,,,,Y,,Coldimmu,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blindsight 10, darkvision 60",10,60,,,,,,,,Draconic,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,None,Monster Manual
"Dragon, Metallic, Silver, Young",Large,Dragon,LG,18,168,40,,80,,,23,10,21,14,11,19,,Y,Y,,Y,Y,,,Y,,,Y,,,,,,Y,,,,,Y,,Coldimmu,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blindsight 30, darkvision 120",30,120,,,,,,,,"Common, Draconic",,,,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,9.00,None,Monster Manual
"Dragon, Turtle",Gargantuan,Dragon,N,20,341,20,40,,,,25,10,20,10,12,12,,Y,Y,,Y,,,,,,,,,,,,,,,,,,,,Fireres,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,Darkvision 120,,120,,,,,,,,"Aquan, Draconic",,,,,Y,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,17.00,Amphibious,Monster Manual
Drider,Large,Monstrosity,CE,19,123,30,,,30,,16,16,18,13,14,12,,,,,,,,,,,,,,,,,,Y,,,,,Y,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Darkvision 120,,120,,,,,,,,"Elvish, Undercommon",,,,,,,,,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,Y,,,6.00,"Fey Ancestry, Innate Spellcasting, Spider Climb, Sunlight Sensitivity, Web Walker",Monster Manual
Drow,Medium,Humanoid,NE,15,13,30,,,,,10,14,10,11,11,12,,,,,,,,,,,,,,,,,,Y,,,,,Y,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Darkvision 120,,120,,,,,,,,"Elvish, Undercommon",,,,,,,,,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,Y,,,0.25,"Fey Ancestry, Innate Spellcasting, Sunlight Sensitivity",Monster Manual
Drow Arachnomancer,Medium,Humanoid (Elf),CE,15,162,30,,,30,,11,17,14,19,14,16,,Y,,Y,,Y,,,Y,,,,,,,,Y,Y,,,,,Y,,Poisonres,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,"Blindsight 10, darkvision 120",10,120,,,,,,,,"Elvish, Undercommon, spiders",,,,,,,,,Y,,,,,,Y,,,,,,,,,,,,,,,Y,,,,,,Y,,,13.00,"Change Shape, Fey Ancestry, Innate Spellcasting, Normal Spellcasting, Spider Climb, Sunlight Sensitivity",Mordenkainen's Tome of Foes
Drow Elite Warrior,Medium,Humanoid,NE,18,71,30,,,,,13,18,14,11,13,12,,Y,Y,,Y,,,,,,,,,,,,,Y,,,,,Y,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Darkvision 120,,120,,,,,,,,"Elvish, Undercommon",,,,,,,,,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,Y,,,5.00,"Fey Ancestry, Innate Spellcasting, Sunlight Sensitivity",Monster Manual
Drow Favored Consort,Medium,Humanoid (Elf),NE,15,225,30,,,,,15,20,16,18,15,18,,Y,Y,,,Y,Y,,,Y,,,,,,,,Y,,,,,Y,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Darkvision 120,,120,,,,,,,,"Elvish, Undercommon",,,,,,,,,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,Y,,,18.00,"Fey Ancestry, Innate Spellcasting, Normal Spellcasting, Sunlight Sensitivity, War Magic",Mordenkainen's Tome of Foes
Drow House Captain,Medium,Humanoid (Elf),NE,16,162,30,,,,,14,19,15,12,14,13,,Y,Y,,Y,,,,,,,,,,,,,Y,,,,,Y,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Darkvision 120,,120,,,,,,,,"Elvish, Undercommon",,,,,,,,,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,Y,,,9.00,"Battle Command, Fey Ancestry, Innate Spellcasting, Sunlight Sensitivity",Mordenkainen's Tome of Foes
Drow Inquisitor,Medium,Humanoid (Elf),NE,16,143,30,,,,,11,15,14,16,21,20,,Y,,,Y,Y,,,,,,,Y,,,,,Y,,,Y,,Y,,Frightenedimmu,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,Darkvision 120,,120,,,,,,,,"Elivhs, Undercommon",,,,,,,,,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,Y,,,14.00,"Discern Lie, Fey Ancestry, Innate Spellcasting, Magic Resistance, Spellcasting, Sunlight Sensitivity",Mordenkainen's Tome of Foes
Drow Mage,Medium,Humanoid,NE,12,45,30,,,,,9,14,10,17,13,12,,,,,,,,,Y,,Y,,,,,,,Y,,,,,Y,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Darkvision 120,,120,,,,,,,,"Elvish, Undercommon",,,,,,,,,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,Y,,,7.00,"Fey Ancestry, Innate Spellcasting, Normal Spellcasting, Sunlight Sensitivity",Monster Manual
Drow Matron Mother,Medium,Humanoid (Elf),NE,17,262,30,,,,,12,18,16,17,21,22,,Y,,,Y,Y,,,,,,,Y,,,,,Y,,,Y,,Y,,"Charmedimmu, frightenedimmu, poisonedimmu",,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,,,Darkvision 120,,120,,,,,,,,"Elvish, Undercommon",,,,,,,,,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,Y,,,20.00,"Fey Ancestry, Innate Spellcasting, Lolth's Fickle Favor, Magic Resistance, Normal Spellcasting, Sunlight Sensitivity",Mordenkainen's Tome of Foes
Drow Priestess of Lolth,Medium,Humanoid,NE,16,71,30,,,,,10,14,12,13,17,18,,Y,,,Y,Y,,,,,,,Y,,,,,Y,,,Y,,Y,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Darkvision 120,,120,,,,,,,,"Elvish, Undercommon",,,,,,,,,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,Y,,,8.00,"Fey Ancestry, Innate Spellcasting, Normal Spellcasting, Sunlight Sensitivity",Monster Manual
Drow Shadowblade,Medium,Humanoid (Elf),NE,17,150,30,,,,,14,21,16,12,14,13,,Y,Y,,Y,,,,,,,,,,,,,Y,,,,,Y,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Darkvision 120,,120,,,,,,,,"Elvish, Undercommon",,,,,,,,,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,Y,,,11.00,"Fey Ancestry, Innate Spellcasting, Shadow Step, Sunlight Sensitivity",Mordenkainen's Tome of Foes
Dryad,Medium,Fey,N,11,22,30,,,,,1,12,11,14,15,18,,,,,,,,,,,,,,,,,,Y,,,,,Y,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Darkvision 60,,60,,,,,,,,"Elvish, Sylvan",,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,Y,,,,,,,,1.00,"Innate Spellcasting, Magic Resistance, Speak with Beasts, Speak with Plants, Tree Stride",Monster Manual
Duergar,Medium,Humanoid,LE,16,26,25,,,,,14,11,14,11,10,9,,,,,,,,,,,,,,,,,,,,,,,,,Poisonres,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,Darkvision 120,,120,,,,,,,,"Dwarvish, Undercommon",,,,,,,,,Y,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,1.00,"Duergar Resilience, Sunlight Sensitivity",Monster Manual
Duergar Despot,Medium,Humanoid (Dwarf),LE,21,119,25,,,,,20,5,19,15,14,13,,Y,,,Y,,,,,,,,,,,,,,,,,,,,"Poisonimmu, charmedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, poisonedimmu",,,,,,,,,,,,,,Y,,,,,,,,,,,Y,Y,Y,Y,,,Darkvision 120,,120,,,,,,,,"Dwarvish, Undercommon",,,,,,,,,Y,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,12.00,"Innate Spellcasting, Magic Resistance, Psychic Engine, Sunlight Sensitivity",Mordenkainen's Tome of Foes
Duergar Kavalrachni,Medium,Humanoid (Dwarf),LE,16,26,25,,,,,14,11,14,11,10,9,,,,,,,,,,,,,,,,,,,,,,,,,Poisonres,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,Darkvision 120,,120,,,,,,,,"Dwarvish, Undercommon",,,,,,,,,Y,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,2.00,"Cavalry Training, Duergar Resilience, Sunlight Sensitivity",Mordenkainen's Tome of Foes
Duergar Mind Master,Medium,Humanoid (Dwarf),LE,14,39,25,,,,,11,17,14,15,10,12,,,,,Y,,,,,,,,,,,,,Y,,,,,Y,,Poisonres,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,"Darkvision 120, truesight 30",,120,30,,,,,,,"Dwarvish, Undercommon",,,,,,,,,Y,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,2.00,"Duergar Resilience, Sunlight Sensitivity",Mordenkainen's Tome of Foes
Duergar Soulblade,Medium,Humanoid (Dwarf),LE,14,18,25,,,,,11,16,10,11,10,12,,,,,,,,,,,,,,,,,,,,,,,,,Poisonres,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,Darkvision 120,,120,,,,,,,,"Dwarvish, Undercommon",,,,,,,,,Y,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,1.00,"Duergar Resilience, Create Soulblade, Innate Spellcasting, Sunlight Sensitivity",Mordenkainen's Tome of Foes
Duergar Stone Guard,Medium,Humanoid (Dwarf),LE,18,39,25,,,,,18,11,14,11,10,9,,,,,,,,,,,,,,,,,,,,,,,,,Poisonres,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,Darkvision 120,,120,,,,,,,,"Dwarvish, Undercommon",,,,,,,,,Y,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,2.00,"Duergar Resilience, Phalanx Formation, Sunlight Sensitivity",Mordenkainen's Tome of Foes
Duergar Warlord,Medium,Humanoid (Dwarf),LE,20,75,25,,,,,18,11,17,12,12,14,,,,,,,,,,,,,,,,,,,,,,,,,Poisonres,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,Darkvision 120,,120,,,,,,,,"Dwarvish, Undercommon",,,,,,,,,Y,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,6.00,"Duergar Resilience, Sunlight Sensitivity",Mordenkainen's Tome of Foes
Duergar Xarrorn,Medium,Humanoid (Dwarf),LE,18,26,25,,,,,16,11,14,11,10,9,,,,,,,,,,,,,,,,,,,,,,,,,Poisonres,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,Darkvision 120,,120,,,,,,,,"Dwarvish, Undercommon",,,,,,,,,Y,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,2.00,"Duergar Resilience, Sunlight Sensitivity",Mordenkainen's Tome of Foes
Eidolon,Medium,Undead,ANY,9,63,,,40,,,7,8,9,14,19,16,,,,,Y,,,,,,,,,,,,,Y,,,,,,,"Acidres, fireres, lightningres, thunderres, nonmagicalres, coldimmu, necroticimmu, poisonimmu, charmedimmu, exhaustionimmu, frightenedimmu, grappledimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu, restrainedimmu",Y,,,Y,Y,,,,Y,,,Y,,Y,,,,,,,,,Y,,Y,Y,Y,Y,Y,,Darkvision 60,,60,,,,,,,,Any,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.00,"Incorporeal Movement, Sacred Animation, Turn Resistance",Mordenkainen's Tome of Foes
"Eidolon, Sacred Statue",Large,Construct,ANY,19,95,25,,,,,19,8,19,14,19,16,,,,,Y,,,,,,,,,,,,,,,,,,,,"Acidres, fireres, lightningres, nonmagicalres, coldimmu, necroticimmu, poisonimmu, charmedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, poisonedimmu",Y,,,Y,Y,,,,Y,,,Y,,Y,,,,,,,,,,,Y,Y,Y,Y,,,Darkvision 60,,60,,,,,,,,Any,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.00,"False Appearance, Ghostly Inhabitant, Inert",Mordenkainen's Tome of Foes
